time_point,date_time,temp_F,RH
595,6/6/18 15:03,88.686,45.751
596,6/6/18 15:18,88.869,47.338
597,6/6/18 15:33,88.822,47.989
598,6/6/18 15:48,88.822,47.727
599,6/6/18 16:03,88.822,50.98
600,6/6/18 16:18,88.777,49.419
601,6/6/18 16:33,88.777,51.009
602,6/6/18 16:48,88.822,51.498
603,6/6/18 17:03,88.869,51.63
604,6/6/18 17:18,88.869,51.048
605,6/6/18 17:33,88.822,51.465
606,6/6/18 17:48,88.869,51.792
607,6/6/18 18:03,88.914,52.118
608,6/6/18 18:18,88.869,52.147
609,6/6/18 18:33,88.869,51.63
610,6/6/18 18:48,88.822,51.271
611,6/6/18 19:03,88.822,51.304
612,6/6/18 19:18,88.777,51.139
613,6/6/18 19:33,88.777,50.718
614,6/6/18 19:48,88.731,50.325
615,6/6/18 20:03,88.731,50.714
616,6/6/18 20:18,88.731,50.228
617,6/6/18 20:33,88.686,49.868
618,6/6/18 20:48,88.686,49.055
619,6/6/18 21:03,88.686,49.543
620,6/6/18 21:18,88.639,49.735
621,6/6/18 21:33,88.639,49.994
622,6/6/18 21:48,88.639,49.962
623,6/6/18 22:03,88.639,50.027
624,6/6/18 22:18,88.639,49.897
625,6/6/18 22:33,88.594,50.088
626,6/6/18 22:48,88.594,50.056
627,6/6/18 23:03,88.594,50.672
628,6/6/18 23:18,88.594,50.251
629,6/6/18 23:33,88.639,50.157
630,6/6/18 23:48,88.594,50.51
631,6/7/18 0:03,88.594,50.704
632,6/7/18 0:18,88.594,50.413
633,6/7/18 0:33,88.547,49.858
634,6/7/18 0:48,88.547,50.215
635,6/7/18 1:03,88.547,50.28
636,6/7/18 1:18,88.547,50.247
637,6/7/18 1:33,88.547,50.409
638,6/7/18 1:48,88.502,50.503
639,6/7/18 2:03,88.502,50.114
640,6/7/18 2:18,88.502,49.79
641,6/7/18 2:33,88.502,50.244
642,6/7/18 2:48,88.502,49.952
643,6/7/18 3:03,88.502,50.536
644,6/7/18 3:18,88.502,50.341
645,6/7/18 3:33,88.502,50.892
646,6/7/18 3:48,88.502,50.341
647,6/7/18 4:03,88.455,50.824
648,6/7/18 4:18,88.455,50.856
649,6/7/18 4:33,88.455,50.532
650,6/7/18 4:48,88.455,51.05
651,6/7/18 5:03,88.455,51.115
652,6/7/18 5:18,88.455,51.277
653,6/7/18 5:33,88.41,51.176
654,6/7/18 5:48,88.455,51.793
655,6/7/18 6:03,88.455,51.922
656,6/7/18 6:18,88.41,51.983
657,6/7/18 6:33,88.41,51.596
658,6/7/18 6:48,88.41,51.402
659,6/7/18 7:03,88.41,51.596
660,6/7/18 7:18,88.41,51.983
661,6/7/18 7:33,88.41,52.37
662,6/7/18 7:48,88.41,52.338
663,6/7/18 8:03,88.41,51.919
664,6/7/18 8:18,88.455,52.245
665,6/7/18 8:33,88.41,52.08
666,6/7/18 8:48,88.455,52.18
667,6/7/18 9:03,88.455,52.502
668,6/7/18 9:18,88.455,52.76
669,6/7/18 9:33,88.502,52.763
670,6/7/18 9:48,88.547,53.088
671,6/7/18 10:03,88.547,52.896
672,6/7/18 10:18,88.594,53.156
673,6/7/18 10:33,88.639,53.192
674,6/7/18 10:48,88.686,52.842
675,6/7/18 11:03,88.686,53.42
676,6/7/18 11:18,88.686,52.616
677,6/7/18 11:33,88.686,52.52
678,6/7/18 11:48,88.639,52.677
679,6/7/18 12:03,88.686,52.423
680,6/7/18 12:18,88.686,52.423
681,6/7/18 12:33,88.639,53.095
682,6/7/18 12:48,88.731,53.36
683,6/7/18 13:03,88.731,53.167
684,6/7/18 13:18,88.777,53.363
685,6/7/18 13:33,88.777,52.913
686,6/7/18 13:48,88.822,52.884
